Device,Completed,Start,End,PG0Dis,PG0Shown,PG0Submit,PG1PsnUse,PG1WdAuth,PG1Trn,PG1Other,PG1Submit,PG2Resp,PG2Submit,PG2Resp,PG3Submit,PG4Dtr0_6,PG4Psv7_8,PG4Prm9_10,PG4AllResp,PG4Submit,PG5_1RRPQ,PG5_1Order,PG5_1Time,PG5_2BNUI,PG5_2Order,PG5_2Time,PG5_3HDS,PG5_3Order,PG5_3Time,PG5_4VGP,PG5_4Order,PG5_4Time,PG5_5PHR,PG5_5Order,PG5_5Time,PG5_6SSYOP,PG5_6Order,PG5_6Time,PG5_7NDYP,PG5_7Order,PG5_7Time,PG5_8CP,PG5_8Order,PG5_8Time,PG5_9FRP,PG5_9Order,PG5_9Time,PG5_10RPA,PG5_10Order,PG5_10Time,PG5_11NSG,PG5_11Order,PG5_11Time,PG5_12NWG,PG5_12Order,PG5_12Time,PG5_13NFG,PG5_13Order,PG5_13Time,PG5Submit,PG6Resp,PG6Submit,PG7R,PG7C/C++,PG7Java,PG7Python,PG7Javascript,PG7Go,PG7C#,PG7Other,PG7Submit,PG8Resp,PG8Submit,PG9Resp,PG9Submit,PG10Resp,PG10Submit,PG11Resp,PG11Submit,PG12Resp,PG12Submit
PC,FALSE,2018-10-11 12:59:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC,FALSE,2018-10-11 12:59:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC,TRUE,2018-10-11 13:12:13,2018-10-11 13:14:03,,,2018-10-11 13:12:19,For personal work and/or research use,,,,2018-10-11 13:12:28,Yes,2018-10-11 13:12:37,"The core ""data.frame"" object lacked functionality that I needed",2018-10-11 13:12:46,,,9,9,2018-10-11 13:12:52,,,,,,,,,,,,,,,,,,,,,,Essential,2,2018-10-11 13:13:19,,,,,,,,,,,,,,,,2018-10-11 13:13:19,20 years or more,2018-10-11 13:13:25,R,C/C++,,Python,,,,,2018-10-11 13:13:32,Statistician,2018-10-11 13:13:44,11 - 15,2018-10-11 13:13:49,Native,2018-10-11 13:13:55,Male,2018-10-11 13:13:58,45 - 54,2018-10-11 13:14:02
PC,FALSE,2018-10-11 13:12:17,,,,2018-10-11 13:12:42,For personal work and/or research use,,,,2018-10-11 13:13:03,No,2018-10-11 13:13:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC,TRUE,2018-10-11 13:12:20,2018-10-11 13:16:50,,,2018-10-11 13:12:28,For personal work and/or research use,,,,2018-10-11 13:12:38,No,2018-10-11 13:13:17,"The core ""data.frame"" object lacked functionality that I needed",2018-10-11 13:14:16,,,10,10,2018-10-11 13:14:23,Medium Priority,5,2018-10-11 13:15:01,Not a Priority,10,2018-10-11 13:15:18,Medium Priority,13,2018-10-11 13:15:38,High Priority,4,2018-10-11 13:14:56,Medium Priority,6,2018-10-11 13:15:03,Not a Priority,8,2018-10-11 13:15:11,Not a Priority,7,2018-10-11 13:15:08,High Priority,15,2018-10-11 13:15:44,Medium Priority,14,2018-10-11 13:15:42,High Priority,1,2018-10-11 13:14:45,Not a Priority,2,2018-10-11 13:14:48,Not a Priority,9,2018-10-11 13:15:16,Not a Priority,11,2018-10-11 13:15:19,2018-10-11 13:15:44,Less than 2 years,2018-10-11 13:15:56,R,,,,,,,,2018-10-11 13:16:02,University professor,2018-10-11 13:16:21,4 - 6,2018-10-11 13:16:34,Native,2018-10-11 13:16:40,Male,2018-10-11 13:16:44,55 - 64,2018-10-11 13:16:49
PC,FALSE,2018-10-11 13:12:51,,,,2018-10-11 13:12:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC,TRUE,2018-10-11 13:13:06,2018-10-11 13:15:35,,,2018-10-11 13:13:11,For personal work and/or research use,,,,2018-10-11 13:13:34,Yes,2018-10-11 13:13:47,"The core ""data.frame"" object lacked functionality that I needed",2018-10-11 13:13:59,,8,,8,2018-10-11 13:14:04,Not a Priority,9,2018-10-11 13:14:45,Low Priority,7,2018-10-11 13:14:40,Low Priority,2,2018-10-11 13:14:25,Not a Priority,3,2018-10-11 13:14:27,Medium Priority,6,2018-10-11 13:14:37,Medium Priority,10,2018-10-11 13:14:48,Not a Priority,1,2018-10-11 13:14:22,High Priority,15,2018-10-11 13:14:55,High Priority,13,2018-10-11 13:14:52,Low Priority,4,2018-10-11 13:14:29,Low Priority,5,2018-10-11 13:14:34,Not a Priority,11,2018-10-11 13:14:50,Not a Priority,8,2018-10-11 13:14:44,2018-10-11 13:14:57,13 - 19 years,2018-10-11 13:15:05,R,,,,,,,,2018-10-11 13:15:10,Forestry scientist,2018-10-11 13:15:18,11 - 15,2018-10-11 13:15:22,Native,2018-10-11 13:15:26,Male,2018-10-11 13:15:30,45 - 54,2018-10-11 13:15:33
PC,FALSE,2018-10-11 13:13:09,,,,2018-10-11 13:13:17,,"For a wider audience, such as developers of other packages or other software",,,2018-10-11 13:13:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC,TRUE,2018-10-11 13:13:17,2018-10-11 13:15:29,,,2018-10-11 13:13:23,For personal work and/or research use,,,,2018-10-11 13:13:32,No,2018-10-11 13:13:38,"The core ""data.frame"" object lacked functionality that I needed",2018-10-11 13:13:51,6,,,6,2018-10-11 13:13:55,Medium Priority,5,2018-10-11 13:14:25,Low Priority,6,2018-10-11 13:14:27,Essential,3,2018-10-11 13:14:18,Medium Priority,9,2018-10-11 13:14:37,Not a Priority,13,2018-10-11 13:14:48,High Priority,4,2018-10-11 13:14:23,Not a Priority,14,2018-10-11 13:14:50,High Priority,11,2018-10-11 13:14:44,High Priority,1,2018-10-11 13:14:17,Low Priority,8,2018-10-11 13:14:32,Medium Priority,7,2018-10-11 13:14:30,Not a Priority,12,2018-10-11 13:14:46,Not a Priority,10,2018-10-11 13:14:41,2018-10-11 13:14:50,2 - 5 years,2018-10-11 13:14:55,R,,,,,,,,2018-10-11 13:15:01,Data Scientist,2018-10-11 13:15:06,11 - 15,2018-10-11 13:15:13,Not native - full working proficiency,2018-10-11 13:15:21,Male,2018-10-11 13:15:24,35 - 44,2018-10-11 13:15:28
PC,FALSE,2018-10-11 13:13:36,,,,2018-10-11 13:13:47,For personal work and/or research use,,,,2018-10-11 13:14:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC,FALSE,2018-10-11 13:14:10,,,,2018-10-11 13:14:16,For personal work and/or research use,,,,2018-10-11 13:14:44,Not sure,2018-10-11 13:15:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
